case,w_hat,rho,delta_HU,rho_struct,s,verdict,violated,laa_ref,laa_rec,laa_thick,p15_ref_HU,p15_rec_HU,psnr
CT00000100_thin.npy,6.25,0.0,-20.647583529353142,0.30244719982147217,5.738,flagged,displacement,0.07923584431409836,0.0,0.0,-874.0000128746033,-874.9313950538635,27.491008758544922
CT00000101_thin.npy,6.25,0.0,-21.70363999903202,0.16378314793109894,6.048,flagged,displacement,0.0025419259909540415,0.003766336478292942,0.0,-879.9999952316284,-884.7446441650391,27.556257247924805
CT00000102_thin.npy,6.25,0.0,-20.346926525235176,0.30972474813461304,5.766,flagged,displacement,1.1524569988250732,0.9544281959533691,0.0,-921.999990940094,-929.0701746940613,27.910778045654297
CT00000103_thin.npy,6.25,0.0,-20.730862393975258,0.31009626388549805,5.297,flagged,displacement,0.29682397842407227,0.07880942523479462,0.0,-916.0000085830688,-922.9575395584106,28.681934356689453
CT00000104_thin.npy,6.25,0.0,-21.18307538330555,0.3037950098514557,5.02,flagged,displacement,0.13832789659500122,0.003664995077997446,0.0,-904.9999713897705,-909.5950126647949,30.533628463745117
CT00000105_thin.npy,6.25,0.0,-21.17849513888359,0.29535311460494995,5.73,flagged,displacement,0.5075071454048157,0.1978984773159027,0.0,-916.9999957084656,-925.5703091621399,27.694303512573242
CT00000106_thin.npy,6.25,0.0,-21.243253722786903,0.31308475136756897,5.328,flagged,displacement,0.10165247321128845,0.0,0.0,-887.0000243186951,-888.2049918174744,28.32892417907715
CT00000107_thin.npy,6.25,0.0,-20.71431092917919,0.1809939444065094,5.926,flagged,displacement,1.3520312309265137,0.12320635467767715,0.0,-912.0000004768372,-913.0755066871643,27.607894897460938
CT00000108_thin.npy,6.25,0.0,-21.915921941399574,0.3362220227718353,6.099,flagged,displacement,0.34505000710487366,0.08254636824131012,0.0,-906.000018119812,-910.7223749160767,26.620729446411133
CT00000109_thin.npy,6.25,0.0,-21.008355543017387,0.302747905254364,5.862,flagged,displacement,0.20297656953334808,0.06583278626203537,0.0,-901.0000228881836,-908.8961482048035,27.038862228393555
CT00000110_thin.npy,6.25,0.0,-21.31902426481247,0.3744659125804901,6.416,flagged,displacement,0.024770868942141533,0.0,0.0,-875.9999871253967,-876.7354488372803,25.53644561767578
CT00000111_thin.npy,6.25,0.0,-20.88441699743271,0.32572948932647705,6.009,flagged,displacement,0.010726770386099815,0.0,0.0,-853.9999723434448,-853.7397980690002,26.557416915893555
CT00000112_thin.npy,6.25,0.0,-21.06413058936596,0.3026599884033203,5.467,flagged,displacement,0.4424559473991394,0.013473127037286758,0.0,-908.9999794960022,-911.037802696228,28.260528564453125
CT00000113_thin.npy,6.25,0.0,-19.94810253381729,0.33608347177505493,5.678,flagged,displacement,0.03235359862446785,0.003679740009829402,0.0,-879.0000081062317,-883.3069205284119,27.529708862304688
CT00000114_thin.npy,6.25,0.0,-21.121475845575333,0.2854609489440918,5.541,flagged,displacement,0.6254040598869324,0.007351679727435112,0.0,-907.9999923706055,-909.4839096069336,27.920181274414062
CT00000115_thin.npy,6.25,0.0,-20.690498873591423,0.36563944816589355,5.227,flagged,displacement,1.0273972749710083,0.014656578190624714,0.0,-913.9999747276306,-911.4159941673279,28.36368751525879
CT00000116_thin.npy,6.25,0.0,-21.628720685839653,0.3444485068321228,5.581,flagged,displacement,0.580137312412262,0.02509487047791481,0.0,-912.0000004768372,-915.1639342308044,27.40738868713379
CT00000117_thin.npy,6.25,0.0,-20.69794200360775,0.25384458899497986,5.527,flagged,displacement,0.5883083939552307,0.004910747054964304,0.0,-897.0000147819519,-901.7402529716492,28.990671157836914
CT00000118_thin.npy,6.25,0.0,-19.830867648124695,0.309315949678421,6.422,flagged,displacement,0.0,0.0,0.0,-819.0000057220459,-817.9147243499756,25.635242462158203
CT00000119_thin.npy,6.25,0.0,-18.93138326704502,0.2865470349788666,5.613,flagged,displacement,0.03258063644170761,0.0,0.0,-825.9999752044678,-824.5973587036133,28.77863121032715
CT00000120_thin.npy,6.25,0.0,-21.611183881759644,0.30034777522087097,5.721,flagged,displacement,0.5249638557434082,0.10043972730636597,0.0,-912.9999876022339,-917.7020192146301,26.832759857177734
CT00000121_thin.npy,6.25,0.0,-20.713236182928085,0.2945755124092102,5.87,flagged,displacement,0.08311714231967926,0.0018475977703928947,0.0,-873.0000257492065,-873.0176687240601,26.490184783935547
CT00000122_thin.npy,6.25,0.0,-19.823119044303894,0.34859025478363037,5.774,flagged,displacement,1.026032567024231,0.5131561160087585,0.0,-921.0000038146973,-925.1343607902527,27.333974838256836
CT00000123_thin.npy,6.25,0.0,-20.213082432746887,0.119266577064991,6.234,flagged,displacement,0.12007295340299606,0.0038559420499950647,0.0,-893.0000066757202,-899.1809487342834,27.77166175842285
CT00000124_thin.npy,6.25,0.0,-20.431531593203545,0.3255923092365265,5.54,flagged,displacement,2.493532419204712,0.767188310623169,0.0,-929.0000200271606,-933.2476258277893,27.77179527282715
CT00000125_thin.npy,6.25,0.0,-20.883992314338684,0.32126352190971375,5.365,flagged,displacement,0.28070348501205444,0.0727463886141777,0.0,-903.9999842643738,-912.5288724899292,29.98326873779297
CT00000126_thin.npy,6.25,0.0,-20.377496257424355,0.17291882634162903,6.104,flagged,displacement,3.652493715286255,2.007845163345337,0.0,-930.9999942779541,-936.5675449371338,26.99923324584961
CT00000127_thin.npy,6.25,0.0,-21.840110421180725,0.22766588628292084,6.197,flagged,displacement,0.035500332713127136,0.0006240911898203194,0.0,-883.0000162124634,-885.1862549781799,26.774242401123047
CT00000128_thin.npy,6.25,0.0,-20.797330886125565,0.3053809106349945,5.823,flagged,displacement,0.9289661645889282,0.06573490798473358,0.0,-912.9999876022339,-914.7615432739258,27.07883644104004
CT00000129_thin.npy,6.25,0.0,-21.752191707491875,0.18183380365371704,6.39,flagged,displacement,0.08748236298561096,0.0,0.0,-861.9999885559082,-860.0130081176758,26.79015350341797
CT00000130_thin.npy,6.25,0.0,-21.378926932811737,0.31887784600257874,5.406,flagged,displacement,0.11435918509960175,0.0483180433511734,0.0,-907.0000052452087,-914.1020178794861,28.741151809692383
CT00000131_thin.npy,6.25,0.0,-20.77491581439972,0.2934117615222931,5.672,flagged,displacement,0.18432201445102692,0.00857643410563469,0.0,-902.999997138977,-905.7348370552063,26.706031799316406
CT00000132_thin.npy,6.25,0.0,-21.04821242392063,0.19103795289993286,7.152,flagged,displacement,0.19521591067314148,0.0,0.0,-871.999979019165,-868.3372735977173,24.798988342285156
CT00000133_thin.npy,6.25,0.0,-20.868241786956787,0.3250824511051178,5.67,flagged,displacement,0.6615214943885803,0.21511438488960266,0.0,-916.9999957084656,-921.7327237129211,28.30624008178711
CT00000134_thin.npy,6.25,0.0,-21.691976115107536,0.35031723976135254,5.81,flagged,displacement,0.09236491471529007,0.030041813850402832,0.0,-896.0000276565552,-900.1807570457458,27.105371475219727
CT00000135_thin.npy,6.25,0.0,-20.64473181962967,0.3381921648979187,6.209,flagged,displacement,0.03556074947118759,0.0,0.0,-875.0,-874.5293617248535,25.264869689941406
CT00000136_thin.npy,6.25,0.0,-19.67570371925831,0.3085094690322876,5.94,flagged,displacement,0.4719737768173218,0.2965318560600281,0.0,-913.9999747276306,-919.7149872779846,23.797605514526367
CT00000137_thin.npy,6.25,0.0,-20.920367911458015,0.30565664172172546,6.245,flagged,displacement,0.21765874326229095,0.22451339662075043,0.0,-906.000018119812,-916.1642789840698,26.07809829711914
CT00000138_thin.npy,6.25,0.0,-21.737180650234222,0.3657701313495636,5.896,flagged,displacement,0.07024610787630081,0.10607770085334778,0.0,-911.0000133514404,-919.3502068519592,27.738780975341797
