case,w_hat,rho,delta_HU,rho_struct,s,verdict,violated,laa_ref,laa_rec,laa_thick,p15_ref_HU,p15_rec_HU,psnr
CT00000000_thin.npy,6.25,0.0,-0.9648181730881333,0.551447868347168,-1.823,flagged,structural,0.180916428565979,0.180916428565979,0.0,-893.999993801117,-893.999993801117,86.02059936523438
CT00000001_thin.npy,6.25,0.0,0.38946184213273227,0.5372849106788635,-0.047,flagged,structural,4.121837139129639,4.121837139129639,0.01408424787223339,-931.9999814033508,-931.9999814033508,86.02059936523438
CT00000003_thin.npy,6.25,0.0,0.12538871669676155,0.6662711501121521,0.548,flagged,structural,0.4911069869995117,0.4911069869995117,0.0,-906.000018119812,-906.000018119812,86.02059936523438
CT00000004_thin.npy,6.25,0.0,-0.6710441666655242,0.5514476895332336,-0.427,flagged,structural,1.7155784368515015,1.7155784368515015,0.0012226358521729708,-920.0000166893005,-920.0000166893005,86.02059936523438
CT00000005_thin.npy,6.25,0.0,1.5811750199645758,0.5920429825782776,-0.006,flagged,structural,4.125274181365967,4.125274181365967,0.007951799780130386,-935.0000023841858,-935.0000023841858,86.02059936523438
CT00000006_thin.npy,6.25,0.0,-0.08186892227968201,0.3052799701690674,-0.895,flagged,structural,0.14202138781547546,0.14202138781547546,0.0,-867.9999709129333,-867.9999709129333,86.02059936523438
CT00000007_thin.npy,6.25,0.0,2.932780422270298,0.5335881114006042,-0.243,flagged,structural,0.6933845281600952,0.6933845281600952,0.0,-908.9999794960022,-908.9999794960022,86.02059936523438
CT00000008_thin.npy,6.25,0.0,1.4870737213641405,0.5690804719924927,0.373,flagged,structural,0.026141025125980377,0.026141025125980377,0.0,-882.0000290870667,-882.0000290870667,86.02059936523438
CT00000009_thin.npy,6.25,0.0,-0.3967117518186569,0.5304878950119019,-0.327,flagged,structural,2.6412079334259033,2.6412079334259033,0.0,-921.0000038146973,-921.0000038146973,86.02059936523438
CT00000010_thin.npy,6.25,0.0,-1.0362310567870736,0.547385573387146,-0.622,flagged,structural,0.10234129428863525,0.10234129428863525,0.0,-893.0000066757202,-893.0000066757202,86.02059936523438
CT00000011_thin.npy,6.25,0.0,0.34065174986608326,0.5198974013328552,0.563,flagged,structural,0.6826953291893005,0.6826953291893005,0.0,-915.0000214576721,-915.0000214576721,86.02059936523438
CT00000012_thin.npy,6.25,0.0,-1.2705407571047544,0.5216549634933472,0.433,flagged,structural,0.0031650778837502003,0.0031650778837502003,0.0,-879.0000081062317,-879.0000081062317,86.02059936523438
CT00000013_thin.npy,6.25,0.0,2.2827573120594025,0.5864800214767456,0.705,flagged,structural,0.3596179187297821,0.3596179187297821,0.0,-912.0000004768372,-912.0000004768372,86.02059936523438
CT00000014_thin.npy,6.25,0.0,1.6971805598586798,0.5785780549049377,-0.867,flagged,structural,0.6399025321006775,0.6399025321006775,0.0,-907.9999923706055,-907.9999923706055,86.02059936523438
CT00000015_thin.npy,6.25,0.0,-0.8847973076626658,0.5503609776496887,0.306,flagged,structural,1.6370950937271118,1.6370950937271118,0.0,-921.0000038146973,-921.0000038146973,86.02059936523438
CT00000016_thin.npy,6.25,0.0,2.0401449874043465,0.9213206768035889,0.993,flagged,structural,14.807883262634277,14.807883262634277,1.344036340713501,-949.999988079071,-949.999988079071,86.02059936523438
CT00000017_thin.npy,6.25,0.0,0.5276014562696218,0.5720911622047424,0.107,flagged,structural,0.2124401032924652,0.2124401032924652,0.0,-911.0000133514404,-911.0000133514404,86.02059936523438
CT00000019_thin.npy,6.25,0.0,1.1102972785010934,0.5165966153144836,0.376,flagged,structural,5.657915115356445,5.657915115356445,0.020260190591216087,-939.0000104904175,-939.0000104904175,86.02059936523438
CT00000020_thin.npy,6.25,0.0,2.4445143062621355,0.9743557572364807,1.336,flagged,structural,0.3208460211753845,0.3208460211753845,0.0,-925.9999990463257,-925.9999990463257,86.02059936523438
CT00000022_thin.npy,6.25,0.0,-0.822144269477576,0.5487838387489319,1.793,flagged,structural,0.038020480424165726,0.038020480424165726,0.0,-912.9999876022339,-912.9999876022339,86.02059936523438
