case,lung_voxels,psnr,ssim,lung_psnr,lung_ssim,laa950_ref,laa950_rec,laa910_ref,laa910_rec,p15_ref,p15_rec,p10_ref,p10_rec,laa950_ref_UL_L,laa950_rec_UL_L,laa950_ref_LL_L,laa950_rec_LL_L,laa950_ref_UL_R,laa950_rec_UL_R,laa950_ref_ML_R,laa950_rec_ML_R,laa950_ref_LL_R,laa950_rec_LL_R
CT00000100,6938630,30.593876801132712,0.8185518980026245,29.991970434801345,0.7942466735839844,0.4116806983947754,0.2757893204689026,2.760847568511963,1.3799121379852295,-873.0000257492065,-865.077793598175,-884.0000033378601,-874.5648860931396,0.38757383823394775,0.2797759771347046,0.8430002927780151,0.6632999777793884,0.11960921436548233,0.07815451174974442,0.07002589106559753,0.028715655207633972,0.28632572293281555,0.07349007576704025
CT00000101,6584511,30.966703212549696,0.8664962649345398,30.745452273319643,0.8176479339599609,0.11830794811248779,0.12670645117759705,1.7436527013778687,1.6017590761184692,-879.0000081062317,-874.4053244590759,-885.9999775886536,-882.0835947990417,0.09775461256504059,0.09423192590475082,0.18965624272823334,0.18439702689647675,0.073343925178051,0.08807704597711563,0.4561958312988281,0.6135047674179077,0.06119461730122566,0.06807900965213776
CT00000102,8020076,31.118804172430302,0.862316370010376,31.429240736222734,0.8246424794197083,1.0467232465744019,0.8528348207473755,16.31847381591797,12.803220748901367,-912.0000004768372,-907.130777835846,-919.0000295639038,-914.2017364501953,0.6141790151596069,0.5756726264953613,1.4567208290100098,1.3656784296035767,0.6189557909965515,0.39127734303474426,1.5894629955291748,1.06812584400177,1.2840864658355713,0.8675878047943115
CT00000103,9087718,30.630463192536798,0.8593536019325256,31.06053708278885,0.8201737999916077,0.5295058488845825,0.5343695878982544,12.26020622253418,9.827945709228516,-907.0000052452087,-902.4240970611572,-913.9999747276306,-909.7132682800293,0.5566456317901611,0.5308509469032288,0.639686644077301,0.6975972652435303,0.37213823199272156,0.36060816049575806,0.3932451903820038,0.2713772654533386,0.6109589338302612,0.6848528981208801
CT00000104,9818365,31.374787971248523,0.8529980182647705,31.570002209686084,0.8278079628944397,0.605070173740387,0.4317012131214142,9.706351280212402,7.3141913414001465,-902.999997138977,-898.5754251480103,-910.0000262260437,-905.289351940155,0.8097783923149109,0.6591148376464844,0.42488136887550354,0.32798120379447937,0.48914048075675964,0.2437203824520111,0.6083411574363708,0.4383634924888611,0.7514942288398743,0.4901511073112488
CT00000105,12045695,31.17328116563246,0.8387513756752014,31.070072896424033,0.809209406375885,0.9783910512924194,0.7401648759841919,13.904054641723633,11.589085578918457,-908.9999794960022,-905.0753116607666,-916.9999957084656,-912.5918745994568,0.42997902631759644,0.35588499903678894,1.2296572923660278,1.0208103656768799,0.3757845461368561,0.2874195873737335,1.3067108392715454,1.0093276500701904,1.7207494974136353,1.1794716119766235
CT00000106,8282401,30.503679515058405,0.8051533699035645,29.05820228737798,0.7860320806503296,0.34171250462532043,0.211701899766922,3.032128095626831,1.8192188739776611,-875.0,-869.0363168716431,-885.9999775886536,-878.6032795906067,0.18294917047023773,0.09366559982299805,0.6823477745056152,0.47575825452804565,0.13222260773181915,0.09411028772592545,0.27995118498802185,0.01154759619385004,0.15251195430755615,0.06062975153326988
CT00000107,9939879,30.53259339728327,0.8289897441864014,29.99240490129742,0.7952635884284973,1.0461797714233398,0.765794038772583,9.006306648254395,6.5334296226501465,-899.9999761581421,-894.6096897125244,-907.9999923706055,-902.5781154632568,0.6036050319671631,0.41223689913749695,1.7350367307662964,1.55646550655365,0.6509368419647217,0.3209136426448822,0.3759426176548004,0.2824172377586365,1.113537073135376,0.6538888812065125
